pregunta,respuesta
"¿Cuál es la URL base de las APIs funcionales de YiQi ERP?","Los módulos funcionales usan como servidor base https://api.yiqi.com.ar/api/public según los specs OpenAPI de negocio."
"¿Cómo obtengo un token de acceso?","Debes invocar POST /token en el módulo Seguridad enviando application/x-www-form-urlencoded con username, password y grant_type=password."
"¿Dónde envío el token una vez autenticado?","El token se reutiliza en el resto de los módulos enviándolo como Bearer en el header Authorization."
"¿Para qué sirve modules.json?","Sirve como índice machine-readable del catálogo de módulos y specs, útil para descubrir qué Swagger corresponde a cada dominio funcional."
"¿Cómo encuentro rápidamente el módulo correcto para una integración?","Puedes empezar por modules.json o por la portada index.html, buscando por dominio funcional como Ventas, Stock, Compras, Finanzas o Clientes y Proveedores."
"¿Qué es schemaId y por qué aparece en tantos endpoints?","Es el identificador de esquema y suele ser obligatorio en la mayoría de las operaciones, ya sea como query parameter o dentro del body."
"¿Qué endpoints comunes repiten casi todas las entidades?","El patrón habitual incluye /ENTIDAD, /ENTIDAD/{id}, /ENTIDAD/search, /ENTIDAD/smartie, y en muchos casos también /ENTIDAD/changestate, /ENTIDAD/file y /ENTIDAD/report."
"¿Cómo creo una instancia de una entidad?","Generalmente se usa POST /ENTIDAD con un body JSON que contiene schemaId y un objeto data con los campos de negocio de la entidad."
"¿Cómo consulto una instancia puntual?","Normalmente se usa GET /ENTIDAD/{id} indicando el id en el path y schemaId en query cuando el endpoint lo requiere."
"¿Cómo funciona la búsqueda por /search?","GET /ENTIDAD/search permite filtrar por atributos propios de la entidad. En la documentación se advierte que suele devolver hasta 50 registros máximo por request."
"¿Qué es una smartie?","Una smartie es una vista o reporte definido por usuarios sobre una entidad, consumible a través del endpoint GET /ENTIDAD/smartie."
"¿Cómo se pagina una smartie?","Se usa GET /ENTIDAD/smartie con smartieId, schemaId y page. La numeración de página es base 1, por lo que debe comenzarse en page=1."
"¿Cuál es la mejor práctica para bajar información desde smarties?","Ordenar por fecha de modificación descendente y paginar desde page=1 hasta alcanzar la última fecha ya sincronizada por tu proceso, evitando recorrer páginas innecesarias."
"¿Por qué conviene evitar el paginado exhaustivo de smarties?","Porque puede generar tráfico innecesario, volver más lenta la integración y degradar el rendimiento general del sistema para otros usuarios."
"¿Qué hago si recibo un 401 al consumir la API?","Debes revisar credenciales, validez del token y header Authorization. Si el token expiró o es inválido, corresponde obtener uno nuevo con el flujo de autenticación."
"¿Conviene usar un usuario con privilegios amplios para integrar?","No. La recomendación es usar un usuario técnico con el menor privilegio posible y otorgar solo permisos estrictamente necesarios para la integración."
"¿Cómo se manejan archivos adjuntos en las entidades?","Cuando la entidad lo soporta, el endpoint /ENTIDAD/file permite descargar archivos con GET y cargar o reemplazar archivos con PUT usando attributeName, instanceId y schemaId."
"¿Cómo descargo reportes generados por una entidad?","Cuando existe, GET /ENTIDAD/report permite descargar reportes predefinidos indicando reportName, instanceId y schemaId."
"¿Todas las entidades permiten cambio de estado?","No. Algunas exponen POST /ENTIDAD/changestate y otras no. Cuando existe, los estados válidos están detallados en la propia operación del Swagger."
"¿Qué prácticas operativas conviene aplicar en producción?","Usar timeouts, reintentos con backoff, logging y trazabilidad, minimizar el volumen de llamadas, y diseñar sincronizaciones incrementales en lugar de consultas masivas repetitivas."
